# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: spekcalc
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 50
# x (cm): 0
# y (cm): 0
# z (cm): 65
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: 0.05 mm Ag

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.25	1.2548521438427004e-87
1.75	5.118735838671368e-35
2.25	1.874443015474648e-15
2.75	0.000004304341296363515
3.25	0.45777945221652017
3.75	1.0345989930119365e-21
4.25	7.898128613253174e-17
4.75	1.8023776319004547e-10
5.25	0.000004537915456698221
5.75	0.006474892872055434
6.25	1.373797857516041
6.75	78.34677709188249
7.25	1712.567233187501
7.75	18840.672273022305
8.25	126258.93094899374
8.75	582016.9967092167
9.25	1994024.5539459453
9.75	5431901.227445155
10.25	7059993.050644299
10.75	14683054.109590186
11.25	27075685.829364024
11.75	36324059.42779216
12.25	50938998.09505696
12.75	74934028.64332001
13.25	104360487.52557634
13.75	138813609.4477586
14.25	177354895.0239028
14.75	219757828.2922833
15.25	264635975.72670364
15.75	311258328.5280349
16.25	358310245.8288449
16.75	404883274.47782373
17.25	450065601.0595516
17.75	493287600.13432777
18.25	534021537.9929089
18.75	571855756.4638051
19.25	606442233.9334902
19.75	637676495.2731713
20.25	665376450.1841791
20.75	689618791.3206464
21.25	717632485.3900924
21.75	735218556.7404755
22.25	749660909.0738792
22.75	761000685.8737667
23.25	769453165.5576453
23.75	767450743.3396949
24.25	770716095.2501956
24.75	771773561.8733307
25.25	770688707.5771296
25.75	73057950.58853482
26.25	81125980.0278398
26.75	89262525.82152675
27.25	98386719.39128438
27.75	106492961.96231939
28.25	112972577.09239088
28.75	120554326.64504884
29.25	128195334.7600654
29.75	135198559.41105938
30.25	142021934.65403023
30.75	148631599.50561464
31.25	154760070.05835617
31.75	160408553.61820042
32.25	165518410.07860562
32.75	170107326.18858126
33.25	174118093.9702937
33.75	179705207.5917267
34.25	182645733.04016352
34.75	182693602.80838573
35.25	184368182.6364646
35.75	185553622.8868373
36.25	186174362.32578692
36.75	186293748.1762002
37.25	185860629.3330238
37.75	184945172.5291268
38.25	183483977.2755572
38.75	184283633.90802395
39.25	181966634.18991303
39.75	179098083.0370198
40.25	175914894.05540147
40.75	169340645.3178288
41.25	165025905.7685869
41.75	160367323.2938932
42.25	155390345.1081464
42.75	150083415.25991464
43.25	144305789.0842708
43.75	138209930.07159686
44.25	131640974.4905923
44.75	127212545.42180328
45.25	120075203.32631111
45.75	112733399.5143953
46.25	104872884.5775684
46.75	96756546.27667937
47.25	83211900.04660043
47.75	72519774.30714227
48.25	61733504.8695283
48.75	51691419.59141801
49.25	38209529.726810016
49.75	18102105.20351591
