# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: spekcalc
# Attenuation data: nist
# Energy bin (keV): 0.5
# Target material: W
# Anode angle (°): 12
# kV: 50
# x (cm): 0
# y (cm): 0
# z (cm): 65
# mAs: 100
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: 0.7 mm Al

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.25	7.484486672897313e-45
1.75	4.832166866930956e-242
2.25	2.5777795941940367e-128
2.75	1.0885357803517003e-72
3.25	1.5685686625477882e-43
3.75	1.1258333738465907e-26
4.25	2.547141450191546e-16
4.75	1.3698518610956537e-9
5.25	0.00004816504204238482
5.75	0.0739576631329279
6.25	14.708960447381271
6.75	736.7214515755072
7.25	13806.457152407052
7.75	129598.38430547356
8.25	743439.4837922694
8.75	2957817.6988071455
9.25	8849762.349394722
9.75	21309120.692636136
10.25	24718059.960683506
10.75	46323343.02741613
11.25	77802719.77164732
11.75	95983188.5847304
12.25	124831540.31701891
12.75	171590438.10377744
13.25	224792767.43336296
13.75	282925128.3682911
14.25	343831508.764383
14.75	407121648.27282923
15.25	469976330.29938126
15.75	531494598.148027
16.25	590412472.6763139
16.75	645853471.0922861
17.25	696984074.9135011
17.75	743516939.6695241
18.25	785193658.8120617
18.75	821889044.5722424
19.25	853525271.2265581
19.75	880319292.2317027
20.25	901280668.4108738
20.75	916961621.0374757
21.25	938120492.9013529
21.75	946201981.2970202
22.25	950997396.0170438
22.75	952642247.5458878
23.25	951467251.8678752
23.75	938262232.520676
24.25	932371012.0726783
24.75	924550793.7672457
25.25	914878219.7260351
25.75	903713994.9837316
26.25	891099692.0178412
26.75	877362351.7304243
27.25	871480666.2754934
27.75	855609519.2267691
28.25	828248772.5754473
28.75	810964727.4124041
29.25	795313817.7800196
29.75	777204605.7532634
30.25	758253545.8559694
30.75	738686436.6436336
31.25	718946850.1937441
31.75	699234624.6596955
32.25	679436483.5733625
32.75	659741011.594075
33.25	640004911.7781807
33.75	627824955.8818665
34.25	608123136.3390769
34.75	581162730.2926191
35.25	561655521.9903574
35.75	542518829.9066198
36.25	523501294.93134123
36.75	504758889.8123296
37.25	486121162.11938626
37.75	467743021.1849913
38.25	449428974.5662543
38.75	437822989.23207486
39.25	419917992.2429373
39.75	401976923.2051329
40.25	384282712.7145524
40.75	360282352.3596894
41.25	342360546.10156685
41.75	324776455.7616015
42.25	307531761.99376947
42.75	290556700.8924091
43.25	273542965.97902566
43.75	256752062.3590557
44.25	239865238.53099635
44.75	227539601.37206286
45.25	210990240.93961942
45.75	194741174.69930077
46.25	178222584.29972073
46.75	161866668.4392556
47.25	137122641.95901364
47.75	117783025.42820822
48.25	98876507.67055279
48.75	81689872.23132305
49.25	59610066.76394233
49.75	27892363.098093037
